Title,Author,Genres,Description,Mood
The Great Gatsby,F. Scott Fitzgerald,Classic Literature,A story of the wealthy Jay Gatsby and his love for Daisy Buchanan.,dark
To Kill a Mockingbird,Harper Lee,Classic Literature,A lawyer defends a Black man against a false rape charge.,dark
1984,George Orwell,Science Fiction,A dystopian novel about a totalitarian regime.,dark
The Hobbit,J.R.R. Tolkien,Fantasy,An adventure of Bilbo Baggins as he tries to win a share of dragon-guarded treasure.,cosy
Pride and Prejudice,Jane Austen,Romance,A story of manners and love in 19th-century England.,cosy
Dune,Frank Herbert,Science Fiction,A complex tale of politics and survival on the desert planet Arrakis.,epic
Dracula,Bram Stoker,Horror,The classic vampire story of Count Dracula's attempt to move from Transylvania to England.,dark
The Chronicles of Narnia,C.S. Lewis,Fantasy,Four sibling's adventures in a magical land.,uplifting
The Alchemist,Paulo Coelho,Self-Help,A shepherd boy's journey to find treasure.,uplifting
Educated,Tara Westover,Biography,A memoir about escaping a survivalist family to find education.,uplifting
Gone Girl,Gillian Flynn,Thriller,A missing person case that turns into something much darker.,dark
The Name of the Rose,Umberto Eco,Mystery,A monk investigates a series of mysterious deaths in an abbey.,dark
Circe,Madeline Miller,Fantasy,A retelling of the myth of Circe the sorceress.,uplifting
Normal People,Sally Rooney,Drama,The complex relationship between Marianne and Connell.,dark
Becoming,Michelle Obama,Biography,The former First Lady's memoir.,uplifting
The Martian,Andy Weir,Science Fiction,An astronaut stranded on Mars must use his ingenuity to survive.,uplifting
Murder on the Orient Express,Agatha Christie,Mystery,Hercule Poirot investigates a murder on a train.,dark
The Night Circus,Erin Morgenstern,Fantasy,A magical competition between two young illusionists.,cosy
Where the Crawdads Sing,Delia Owens,Drama,A young girl grows up alone in the marshes of North Carolina.,uplifting
Project Hail Mary,Andy Weir,Science Fiction,A lone astronaut must save Earth from an extinction-level threat.,uplifting
The Midnight Library,Matt Haig,Fantasy,A woman explores the many lives she could have lived.,uplifting
Atomic Habits,James Clear,Self-Help,A guide to building good habits and breaking bad ones.,uplifting
Sapiens,Yuval Noah Harari,Biography,A brief history of humankind.,epic
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Drama,A reclusive Hollywood icon tells her life story.,dark
The Silent Patient,Alex Michaelides,Thriller,A woman shoots her husband and never speaks another word.,dark
A Gentleman in Moscow,Armor Towles,Historical Fiction,A count is sentenced to house arrest in a luxury hotel.,cosy
Big Little Lies,Liane Moriarty,Mystery,Three mothers' lives unravel after a murder at a school trivia night.,dark
Thinking Fast and Slow,Daniel Kahneman,Self-Help,An exploration of the two systems that drive the way we think.,uplifting
Shoe Dog,Phil Knight,Biography,The story of the creator of Nike.,uplifting
Malibu Rising,Taylor Jenkins Reid,Drama,Four famous siblings throw an epic party that goes out of control.,uplifting
Verity,Colleen Hoover,Thriller,A writer discovers a chilling manuscript by a famous author.,dark
The Song of Achilles,Madeline Miller,Historical Fiction,A retelling of the Iliad from Patroclus's perspective.,dark
The House in the Cerulean Sea,TJ Klune,Fantasy,A caseworker visits an orphanage for magical children.,cosy
Mexican Gothic,Silvia Moreno-Garcia,Horror,A young woman investigates a mysterious isolated mansion.,dark
The Shadow of the Wind,Carlos Ruiz Zafon,Mystery,A boy discovers a secret library in post-war Barcelona.,dark
Station Eleven,Emily St. John Mandel,Science Fiction,A nomadic troupe of actors travels across a post-apocalyptic world.,dark
The Guest List,Lucy Foley,Thriller,A wedding on a remote island turns deadly.,dark
Anxious People,Fredrik Backman,Mystery,A group of strangers are taken hostage at an apartment viewing.,uplifting
Lessons in Chemistry,Bonnie Garmus,Historical Fiction,A female chemist becomes a popular cooking show host in the 1960s.,uplifting
The Power of Habit,Charles Duhigg,Self-Help,How habits work and how to change them.,uplifting
